system,nodes,total_ranks,message_bytes,bw_GBps,max_elapsed_s,repeat
aurora,2,2,1048576,21.292872,0.019698160,1
aurora,2,2,1048576,21.297050,0.019694296,2
aurora,2,2,1048576,21.299654,0.019691888,3
aurora,2,4,1048576,42.486769,0.019744048,1
aurora,2,4,1048576,42.499766,0.019738010,2
aurora,2,4,1048576,42.518443,0.019729340,3
aurora,2,8,1048576,84.958200,0.019747612,1
aurora,2,8,1048576,84.987517,0.019740800,2
aurora,2,8,1048576,84.883407,0.019765012,3
aurora,2,16,1048576,160.911382,0.020852740,1
aurora,2,16,1048576,160.872336,0.020857801,2
aurora,2,16,1048576,161.312071,0.020800943,3
aurora,2,32,1048576,186.072948,0.036065890,1
aurora,2,32,1048576,186.054116,0.036069540,2
aurora,2,32,1048576,186.026014,0.036074989,3
aurora,2,64,1048576,186.278984,0.072051997,1
aurora,2,64,1048576,185.794032,0.072240064,2
aurora,2,64,1048576,185.849607,0.072218462,3
aurora,2,128,1048576,226.684867,0.118417899,1
aurora,2,128,1048576,225.161293,0.119219184,2
aurora,2,128,1048576,226.616528,0.118453609,3
aurora,2,208,1048576,332.419888,0.131221877,1
aurora,2,208,1048576,337.875607,0.129103021,2
aurora,2,208,1048576,340.817617,0.127988576,3
