system,nodes,total_ranks,message_bytes,bw_GBps,max_elapsed_s,repeat
crux,2,2,1048576,20.721368,0.020241444,1
crux,2,2,1048576,20.747010,0.020216426,2
crux,2,2,1048576,20.692329,0.020269850,3
crux,2,4,1048576,31.744855,0.026425095,1
crux,2,4,1048576,31.675928,0.026482596,2
crux,2,4,1048576,31.858255,0.026331034,3
crux,2,8,1048576,35.321477,0.047498625,1
crux,2,8,1048576,35.181540,0.047687555,2
crux,2,8,1048576,34.682196,0.048374146,3
crux,2,16,1048576,35.843789,0.093612961,1
crux,2,16,1048576,36.016650,0.093163667,2
crux,2,16,1048576,35.753755,0.093848694,3
crux,2,32,1048576,36.385172,0.184440143,1
crux,2,32,1048576,36.351298,0.184612015,2
crux,2,32,1048576,36.337949,0.184679836,3
crux,2,64,1048576,38.360075,0.349889117,1
crux,2,64,1048576,38.688664,0.346917452,2
crux,2,64,1048576,38.719082,0.346644917,3
crux,2,128,1048576,41.252176,0.650718300,1
crux,2,128,1048576,41.268681,0.650458040,2
crux,2,128,1048576,41.477771,0.647179072,3
